Player,Span,Start_ Year,End_Year,Career_Length,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
GL Cloete (SA),2018-2019,2018,2019,1,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FRJ Coleman (SCOT),2013-2013,2013,2013,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LA Collado (GIBR),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
NG Collins (Fin),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AN Cook (ENG),2007-2009,2007,2009,2,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BN Cooper (NL),2013-2019,2013,2019,6,51,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SJ Cotter (Samoa),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CK Coventry (ZIM),2010-2015,2010,2015,5,13,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
MH Cross (SCOT),2013-2019,2013,2019,6,43,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DDP D'Silva (UAE),2019-2019,2019,2019,0,10,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
D Daesrath (CAN),2013-2013,2013,2013,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Dalton (CZK-R),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P Danci (ROM),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
RR David (CAN),2008-2008,2008,2008,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SM Davies (ENG),2009-2011,2009,2011,2,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
N Davin (NAM),2019-2019,2019,2019,0,16,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TB de Bruyn (SA),2017-2017,2017,2017,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TN de Grooth (NL),2008-2013,2008,2013,5,15,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q de Kock (SA),2012-2019,2012,2019,7,38,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ Delany (GIBR),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
D de la Puente (Peru),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SI de Saram (SL),2009-2009,2009,2009,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AB de Villiers (SA),2006-2017,2006,2017,11,78,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Dhawan (INDIA),2011-2019,2011,2019,8,58,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dhiman Ghosh (BDESH),2008-2008,2008,2008,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
MS Dhoni (INDIA),2006-2019,2006,2019,13,98,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
N Dickwella (SL),2016-2019,2016,2019,3,23,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
V Dikov (),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HH Dippenaar (SA),2006-2006,2006,2006,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
K Doriga (PNG),2019-2019,2019,2019,0,17,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JN Dorji (BHU),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
RM Dorji (BHU),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
U Dorji (BHU),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TM Dowlin (WI),2009-2010,2009,2010,1,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Dravid (INDIA),2011-2011,2011,2011,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BM Duckett (ENG),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LA Dunbar (Serb),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JSE Dunford (JER),2019-2019,2019,2019,0,17,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BR Dunk (AUS),2014-2017,2014,2017,3,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
J Dunn (VAN),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
G Dutta (Mex),2019-2019,2019,2019,0,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
J Edness (BMUDA),2008-2008,2008,2008,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SA Edwards (NL),2018-2019,2018,2019,1,29,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
L Emilio (Moz),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
C Emmott (Chile),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CR Ervine (ZIM),2010-2019,2010,2019,9,22,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Escobar (Arg),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fahad Ali (),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Faisal Javed (QAT),2019-2019,2019,2019,0,15,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Faizan Asif (UAE),2014-2015,2014,2015,1,6,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LB Ferbrache (GUE),2019-2019,2019,2019,0,9,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Ferguson (Arg),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ Ferguson (AUS),2009-2009,2009,2009,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BOP Fernando (SL),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
WIA Fernando (SL),2019-2019,2019,2019,0,10,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
NJ Ferraby (JER),2019-2019,2019,2019,0,14,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fiaz Ahmed (BAH),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fida Hussain (ITA),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SE Findlay (WI),2008-2008,2008,2008,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Flannigan (SCOT),2012-2012,2012,2012,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SP Fleming (NZ),2005-2006,2005,2006,1,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ADS Fletcher (WI),2008-2018,2008,2018,10,42,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BT Foakes (ENG),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CR Foggo (BMUDA),2008-2008,2008,2008,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JS Foster (ENG),2009-2009,2009,2009,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
O Fournier (CRC),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TS Fray (BMUDA),2019-2019,2019,2019,0,10,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JD Freyone (GIBR),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PG Fulton (NZ),2006-2012,2006,2012,6,12,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PF Gallagher (Fin),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
G Gambhir (INDIA),2007-2012,2007,2012,5,37,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AR Gandhi (KENYA),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
D Ganga (WI),2006-2006,2006,2006,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Garret Banner (Blz),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Gavde (Caym),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Gaznavi (SGP),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Gershon Yusuf (NGA),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
L Gharasim (ROM),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ghulam Shabber (UAE),2016-2019,2016,2019,3,17,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HH Gibbs (SA),2005-2010,2005,2010,5,23,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AC Gilchrist (AUS),2005-2008,2005,2008,3,13,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
O Goker (TKY),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LF Goncalves (),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DM Gondaria (KENYA),2013-2019,2013,2019,6,11,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Goodwin (PHI),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M Goonetilleke (MALTA),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TG Gordon (CAN),2012-2012,2012,2012,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Goud (CZK-R),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ZE Green (NAM),2019-2019,2019,2019,0,16,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Gunasekera (CAN),2012-2013,2012,2013,1,8,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
K Gupta (Chile),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BJ Haddin (AUS),2006-2014,2006,2014,8,34,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OJ Hairs (SCOT),2019-2019,2019,2019,0,8,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AD Hales (ENG),2011-2019,2011,2019,8,60,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Hallett (Peru),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GM Hamilton (SCOT),2007-2010,2007,2010,3,12,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hammad Azam (PAK),2012-2013,2012,2013,1,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hamza Tariq (CAN),2013-2019,2013,2019,6,15,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PSP Handscomb (AUS),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Haris Sohail (PAK),2013-2019,2013,2019,6,14,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hashmatullah Shahidi (AFG),2013-2013,2013,2013,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hassan Rasheed (Mald),2019-2019,2019,2019,0,8,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
C Hauptfleisch (Caym),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ML Hayden (AUS),2005-2007,2005,2007,2,9,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hazratullah Zazai (AFG),2016-2019,2016,2019,3,13,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
H Helva (TKY),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DL Hemp (BMUDA),2008-2008,2008,2008,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
RR Hendricks (SA),2014-2019,2014,2019,5,22,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SO Hetmyer (WI),2018-2019,2018,2019,1,20,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hilal Ahmad (CZK-R),2019-2019,2019,2019,0,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
WW Hinds (WI),2006-2010,2006,2010,4,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SD Hope (WI),2017-2019,2017,2019,2,13,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GJ Hopkins (NZ),2007-2010,2007,2010,3,10,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JM How (NZ),2007-2008,2007,2008,1,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PJ Hughes (AUS),2014-2014,2014,2014,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DP Hyatt (WI),2011-2012,2011,2012,1,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ibrahim Zadran (AFG),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imam-ul-Haq (PAK),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imran Ali Butt (BAH),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imran Farhat (PAK),2010-2011,2010,2011,1,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imran Haider (ROM),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imran Ismail (Moz),2019-2019,2019,2019,0,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imran Nazir (PAK),2007-2012,2007,2012,5,25,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imrul Kayes (BDESH),2010-2017,2010,2017,7,14,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CA Ingram (SA),2010-2012,2010,2012,2,9,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PJ Ingram (NZ),2010-2010,2010,2010,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Inzamam-ul-Haq (PAK),2006-2006,2006,2006,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
H Ivanov (),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SS Iyer (INDIA),2017-2019,2017,2019,2,14,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
KM Jadhav (INDIA),2015-2017,2015,2017,2,9,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jahurul Islam (BDESH),2010-2013,2010,2013,3,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Jamil (Belg),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Javed Ahmadi (AFG),2012-2017,2012,2017,5,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CU Jayasinghe (SL),2009-2010,2009,2010,1,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JW Jenner (JER),2019-2019,2019,2019,0,17,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JS Jesani (KENYA),2007-2007,2007,2007,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
K Jethi (CAN),2008-2008,2008,2008,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GO Jones (ENG),2005-2006,2005,2006,1,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
C Jonker (SA),2018-2018,2018,2018,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Jora (NEPAL),2019-2019,2019,2019,0,6,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HJ Jordaan (THAI),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GJ Joseph (Blz),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
K Joshi (Aut),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
EC Joyce (ENG/IRE),2006-2014,2006,2014,8,18,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Junaid Siddique (BDESH),2007-2012,2007,2012,5,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Jyoti (CAN),2008-2008,2008,2008,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
G Kaltongga (VAN),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Kamran Akmal (PAK),2006-2017,2006,2017,11,58,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SHT Kandamby (SL),2008-2011,2008,2011,3,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CK Kapugedera (SL),2006-2017,2006,2017,11,43,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
IA Karim (KENYA),2013-2019,2013,2019,6,16,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
KD Karthik (ICC/INDIA),2006-2019,2006,2019,13,32,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SM Katich (AUS),2005-2006,2005,2006,1,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
I Katzarski (),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HB Kayondo (UGA),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AN Kervezee (NL),2009-2012,2009,2012,3,10,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S Keshvani (CAN),2010-2010,2010,2010,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
RWT Key (ENG),2009-2009,2009,2009,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SP Khakurel (NEPAL),2014-2015,2014,2015,1,8,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Khalid Latif (PAK),2008-2016,2008,2016,8,13,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
UT Khawaja (AUS),2016-2016,2016,2016,0,9,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Khizer Ahmed (NOR),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
N Khosla (MALTA),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Khurram Manzoor (PAK),2016-2016,2016,2016,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Khurram Nawaz (OMAN),2017-2019,2017,2019,2,18,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Khushdil Shah (PAK),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
C Kieswetter (ENG),2010-2012,2010,2012,2,25,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TCR Kimber (GUE),2019-2019,2019,2019,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BA King (WI),2019-2019,2019,2019,0,6,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
NR Kirton (CAN),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
H Klaasen (SA),2018-2019,2018,2019,1,9,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M Klinger (AUS),2017-2017,2017,2017,0,3,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
EB Knowles (CZK-R),2019-2019,2019,2019,0,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
MF Koc (TKY),2019-2019,2019,2019,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
JP Kotze (NAM),2019-2019,2019,2019,0,12,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HG Kuhn (SA),2009-2017,2009,2017,8,7,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HGJM Kulatunga (SL),2008-2008,2008,2008,0,2,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Kuldeep Singh (PHI),2019-2019,2019,2019,0,4,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
T Langa (VAN),2019-2019,2019,2019,0,1,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
