Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
RS Gabriel (WI),1984-1984,1984,1984,0,11,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DJ Gandhi (INDIA),1999-2000,1999,2000,1,3,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HJW Gardiner (SCOT),2013-2015,2013,2015,2,11,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LV Garrick (WI),2001-2001,2001,2001,0,3,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LK Germon (NZ),1994-1997,1994,1997,3,37,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ghulam Ali (PAK),1993-1995,1993,1995,2,3,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ghulam Shabber (UAE),2017-2019,2017,2019,2,23,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
T Gibbons (BMUDA),2006-2006,2006,2006,0,2,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HH Gibbs (SA),1996-2010,1996,2010,14,248,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AC Gilchrist (AUS/ICC),1996-2008,1996,2008,12,287,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PG Gillespie (IRE),2006-2007,2006,2007,1,5,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DM Gondaria (KENYA),2013-2013,2013,2013,0,2,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
HM Goonatilleke (SL),1982-1982,1982,1982,0,6,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
IJ Gould (ENG),1983-1983,1983,1983,0,18,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ZE Green (NAM),2019-2019,2019,2019,0,5,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AE Greenidge (WI),1978-1978,1978,1978,0,1,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AFG Griffith (WI),1996-2000,1996,2000,4,9,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
R Gunasekera (CAN),2008-2014,2008,2014,6,19,-,-,-,-,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
